"","gender","age","continent","highest_degree","current_employment","check","platform","philanthropist","socialiser","free_spirit","achiever","disruptor","player","mean_score"
"19","Male","26-40","America","Master","Part time","A few times a week","Microworkers",25,26,25,25,26,24,0.916227766016838
"20","Male","26-40","America","Bachelor","Full time","Once a day","MTurk",27,25,25,28,10,26,0.804127850348593
"21","Male","Over 40","Asia","Bachelor","Part time","Several times a day","Microworkers",27,28,25,27,20,27,0.919522860933439
"22","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",22,16,22,20,20,23,0.789522860933439
"23","Female","18-25","Asia","High school","Full time","Several times a day","Microworkers",27,27,27,26,21,27,0.816892554968384
"24","Male","26-40","America","Bachelor","Full time","A few times a week","Microworkers",28,28,26,25,17,28,1
"25","Female","18-25","Asia","Master","Part time","Several times a day","Microworkers",24,25,26,22,15,23,0.737835613464174
"26","Female","18-25","America","Bachelor","Full time","A few times a week","MTurk",18,23,24,21,23,20,0.93228756555323
"27","Female","18-25","Asia","Bachelor","Full time","Several times a day","MTurk",24,24,23,24,23,25,0.804127850348593
"28","Male","18-25","America","High school","Unemployed","Several times a day","Microworkers",25,27,27,28,27,27,0.674590060260807
"29","Male","18-25","Asia","Bachelor","Full time","Several times a day","Microworkers",26,26,26,27,25,25,0.763910342154913
"30","Male","Over 40","America","Bachelor","Full time","Once a day","MTurk",24,24,24,24,19,24,1
"31","Male","Over 40","America","Bachelor","Full time","Once a day","MTurk",27,25,27,25,24,23,0.85373217175517
"32","Female","26-40","America","Master","Full time","Once a day","MTurk",17,15,15,16,17,17,0.665329554211948
"33","Male","18-25","Asia","High school","Part time","Several times a day","Microworkers",28,23,27,28,19,27,0.758113883008419
"34","Female","26-40","Asia","Bachelor","Full time","Once a day","MTurk",25,25,22,25,23,25,0.690401448561648
"35","Female","26-40","Europe","High school","Part time","Several times a day","Microworkers",18,18,19,20,11,16,1
"36","Male","26-40","Asia","Master","Full time","Once a day","Microworkers",12,8,10,6,11,7,0.958113883008419
"37","Male","18-25","Asia","High school","Part time","Several times a day","Microworkers",27,28,25,27,15,25,0.926491106406735
"38","Female","26-40","Asia","Bachelor","Unemployed","Once a day","Microworkers",27,27,27,27,25,28,0.709045721866879
"39","Female","26-40","America","Master","Full time","Once a day","MTurk",13,20,13,15,16,18,0.846491106406735
"40","Female","26-40","Asia","Bachelor","Part time","Once a day","Microworkers",27,28,28,26,23,28,0.831622776601684
"41","Female","18-25","Africa","Bachelor","Full time","Several times a day","Microworkers",24,25,25,23,13,25,0.858778671959965
"42","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",24,24,25,24,23,26,0.75228756555323
"43","Female","26-40","Asia","Bachelor","Full time","Several times a day","MTurk",23,26,24,24,27,26,0.740223278161906
"44","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",22,21,22,23,23,22,0.690401448561648
"45","Male","26-40","America","Bachelor","Full time","Several times a day","MTurk",28,26,25,28,11,28,0.846013967340175
"46","Male","18-25","Asia","Bachelor","Full time","Several times a day","Microworkers",26,25,28,28,9,20,0.790401448561649
"47","Male","18-25","Asia","Master","Full time","Several times a day","Microworkers",27,25,27,26,13,26,0.851810426486669
"48","Male","26-40","Asia","High school","Part time","Several times a day","Microworkers",27,28,28,28,27,27,0.864575131106459
"49","Male","26-40","Asia","Master","Full time","Once a day","Microworkers",19,16,16,19,13,13,0.926491106406735
"50","Female","18-25","Europe","Bachelor","Unemployed","Several times a day","Microworkers",24,20,21,23,23,21,0.642302494707577
"51","Female","26-40","Asia","Master","Full time","A few times a week","MTurk",22,22,25,25,21,22,1
"52","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",23,20,19,21,20,19,0.7
"53","Male","26-40","Asia","Master","Full time","Several times a day","Microworkers",28,26,28,27,18,26,0.867413555220529
"54","Male","18-25","Asia","High school","Unemployed","Once a day","Microworkers",28,28,23,26,18,28,0.884604989415154
"55","Female","26-40","America","Bachelor","Part time","Once a day","MTurk",23,24,19,24,21,22,0
"56","Male","26-40","Asia","Master","Part time","Several times a day","Microworkers",27,26,23,19,17,22,0.918113883008419
"57","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",25,25,22,26,12,24,0.926491106406735
"58","Male","18-25","Europe","High school","Part time","A few times a week","Microworkers",23,20,20,21,15,21,0.87
"59","Female","26-40","America","Bachelor","Full time","Several times a day","MTurk",18,16,16,19,15,22,1
"60","Male","18-25","Asia","Bachelor","Unemployed","Several times a day","Microworkers",24,25,24,25,25,24,0.71
"61","Female","26-40","Africa","Bachelor","Unemployed","Hardly ever","Microworkers",28,28,23,22,16,28,0.93228756555323
"62","Male","18-25","Africa","Bachelor","Part time","Several times a day","Microworkers",28,28,28,28,10,28,1
"63","Female","18-25","Asia","Bachelor","Full time","Once a day","MTurk",27,24,24,24,23,24,0.228449162468305
"64","Male","26-40","America","Master","Full time","Once a day","MTurk",20,25,20,22,20,23,0.726491106406735
"65","Male","Over 40","America","Bachelor","Full time","Once a day","MTurk",24,24,23,24,19,24,0.895618288746752
"66","Female","18-25","Asia","Bachelor","Unemployed","Hardly ever","Microworkers",28,28,28,28,25,28,0.926491106406735
"67","Male","26-40","Asia","Master","Full time","A few times a week","MTurk",26,26,25,25,21,24,1
"68","Female","18-25","Asia","Bachelor","Unemployed","Several times a day","Microworkers",27,24,27,24,22,25,0.755353791220852
"69","Female","26-40","Asia","Bachelor","Full time","Once a day","MTurk",26,22,24,27,23,22,0.595533118756597
"70","Male","26-40","Asia","High school","Part time","A few times a week","Microworkers",25,22,23,24,16,19,0.589458390065858
"71","Male","26-40","Africa","Bachelor","Part time","Several times a day","Microworkers",28,28,24,27,14,26,0.902371578407382
"72","Male","26-40","Asia","Bachelor","Full time","A few times a week","MTurk",22,21,22,23,23,22,0.80228756555323
"73","Female","26-40","America","High school","Part time","Several times a day","Microworkers",28,28,28,28,10,28,0.919522860933439
"74","Male","26-40","America","Bachelor","Full time","Several times a day","Microworkers",27,27,25,25,21,28,0.958113883008419
"75","Female","18-25","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,27,23,10,22,0.858113883008419
"76","Male","18-25","Asia","Bachelor","Full time","Several times a day","MTurk",22,21,22,23,23,22,0.726491106406735
"77","Male","18-25","America","Bachelor","Full time","Once a day","MTurk",21,19,20,17,23,22,0.851810426486669
"78","Female","18-25","Asia","Master","Full time","Several times a day","Microworkers",28,28,28,28,16,28,0.879056941504209
"79","Male","18-25","America","Bachelor","Unemployed","Several times a day","Microworkers",23,24,24,22,23,22,0.93228756555323
"80","Male","Over 40","Europe","High school","Retired","Several times a day","Microworkers",22,21,20,20,13,23,1
"81","Female","Over 40","America","Bachelor","Part time","A few times a week","MTurk",17,18,20,16,13,18,0.837170824512628
"82","Male","18-25","Africa","Bachelor","Part time","Several times a day","Microworkers",26,25,25,23,14,24,0.591622776601684
"83","Male","18-25","America","Bachelor","Part time","Several times a day","Microworkers",25,26,28,23,19,27,0.93228756555323
"84","Male","26-40","Asia","Master","Full time","A few times a week","MTurk",24,25,26,21,24,24,0.958113883008419
"85","Male","26-40","Asia","Master","Full time","Several times a day","Microworkers",26,28,27,24,24,24,0.524411889861064
"86","Female","26-40","Asia","Bachelor","Unemployed","Once a day","Microworkers",24,25,25,24,22,22,0.535755291299481
"87","Male","26-40","Asia","Bachelor","Part time","A few times a week","MTurk",16,16,19,15,12,22,0.658778671959965
"88","Female","18-25","Asia","Bachelor","Unemployed","Several times a day","Microworkers",26,25,17,25,19,22,0.8302427307079
"89","Male","26-40","America","Bachelor","Unemployed","Several times a day","Microworkers",28,28,24,28,6,24,0.877636743941858
"90","Female","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",26,26,27,28,16,28,0.811344507057439
"91","Male","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",27,28,28,25,25,26,1
"92","Male","18-25","America","High school","Unemployed","Several times a day","Microworkers",25,23,22,26,9,24,0.750401448561648
"93","Male","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",25,24,22,24,15,24,0.809924309495088
"94","Female","26-40","America","Master","Full time","Once a day","MTurk",26,23,22,25,25,24,0.758113883008419
"95","Male","Over 40","America","Master","Full time","Several times a day","MTurk",26,23,25,25,19,26,0.731359436211787
"96","Female","Over 40","America","Bachelor","Part time","Once a day","MTurk",26,24,24,23,19,22,0.91
"97","Male","26-40","America","Master","Full time","Once a day","MTurk",27,24,24,23,24,24,0.804127850348593
"98","Female","26-40","Asia","High school","Full time","Hardly ever","Microworkers",28,28,27,22,11,27,1
"99","Male","26-40","America","Bachelor","Full time","Several times a day","MTurk",4,6,6,6,4,4,0.71
"100","Male","18-25","Africa","Bachelor","Full time","Once a day","Microworkers",26,25,23,27,16,25,0.591622776601684
"101","Female","26-40","Africa","Bachelor","Full time","Several times a day","Microworkers",28,28,25,25,9,26,0.919522860933439
"102","Female","26-40","Asia","High school","Full time","Several times a day","Microworkers",27,27,26,26,26,26,0.782808565805375
"103","Male","18-25","Asia","Bachelor","Full time","Several times a day","MTurk",24,23,24,25,23,22,0.8
"104","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",26,25,25,26,23,26,0.69228756555323
"105","Male","18-25","Asia","High school","Part time","Several times a day","Microworkers",24,21,22,19,21,23,0.690401448561648
"106","Male","26-40","America","Bachelor","Full time","A few times a week","MTurk",16,14,13,13,13,13,0.722024225163332
"107","Female","18-25","Asia","Bachelor","Part time","Once a day","Microworkers",24,20,24,23,16,22,0.846013967340175
"108","Male","18-25","America","Bachelor","Full time","Several times a day","MTurk",23,25,26,24,25,23,0.246491106406735
"109","Male","26-40","Asia","Bachelor","Full time","A few times a week","MTurk",23,24,25,22,23,24,0.733874803318569
"110","Female","26-40","Asia","Bachelor","Full time","Once a day","MTurk",24,23,22,19,21,20,0.507170824512628
"111","Male","26-40","America","Bachelor","Full time","Several times a day","MTurk",19,22,22,19,23,22,0.736491106406735
"112","Female","Over 40","America","Bachelor","Full time","A few times a week","MTurk",24,20,23,23,20,20,0.87
"113","Male","26-40","Asia","Bachelor","Full time","Several times a day","MTurk",27,27,26,24,16,24,0.877676895610426
"114","Male","26-40","Asia","Master","Full time","Once a day","Microworkers",25,28,28,28,10,28,0.76253029626113
"115","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",27,26,25,27,21,28,0.926491106406735
"116","Male","18-25","Asia","Bachelor","Full time","Several times a day","Microworkers",28,27,27,27,22,28,0.755284707521047
"117","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",24,26,25,24,25,22,0.918113883008419
"118","Female","18-25","Asia","Master","Unemployed","Once a day","Microworkers",27,27,28,27,24,24,0.96
"119","Female","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",28,28,28,23,17,28,0.958113883008419
"120","Female","26-40","America","Bachelor","Full time","Once a day","MTurk",23,16,23,23,21,19,0.918113883008419
"121","Male","26-40","America","Master","Full time","Several times a day","MTurk",22,24,23,23,22,24,1
"122","Male","18-25","Africa","Bachelor","Part time","Several times a day","Microworkers",26,28,28,27,17,27,1
"123","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,27,27,25,27,0.884604989415154
"124","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",22,21,22,23,23,22,0.829522860933439
"125","Male","18-25","Asia","Bachelor","Unemployed","Once a day","Microworkers",24,28,28,26,16,28,1
"126","Male","26-40","Asia","Bachelor","Full time","A few times a week","MTurk",22,25,24,25,25,22,0.712084001008581
"127","Male","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",22,20,20,21,22,19,0.718113883008419
"128","Male","Over 40","America","Bachelor","Full time","Several times a day","MTurk",28,28,27,28,8,28,0.926491106406735
"129","Male","18-25","America","High school","Unemployed","Several times a day","Microworkers",28,22,25,26,11,28,0.832287565553229
"130","Female","18-25","America","High school","Part time","Several times a day","Microworkers",24,22,18,21,14,20,1
"131","Male","18-25","Asia","Bachelor","Part time","Several times a day","Microworkers",26,28,26,23,16,23,0.76373217175517
"132","Female","26-40","Asia","Bachelor","Part time","Hardly ever","Microworkers",28,28,27,27,17,28,0.777636743941858
"133","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",27,24,24,23,24,22,0.71
"134","Female","26-40","America","Master","Full time","A few times a week","MTurk",24,19,25,15,20,16,0.758113883008419
"135","Male","18-25","Africa","Bachelor","Part time","Several times a day","Microworkers",28,28,28,25,17,28,0.879522860933439
"136","Male","18-25","America","High school","Unemployed","Several times a day","Microworkers",27,22,26,28,11,26,0.926491106406735
"137","Male","18-25","America","Bachelor","Full time","Several times a day","MTurk",26,23,22,23,22,25,0.611846054763589
"138","Male","26-40","America","Bachelor","Full time","A few times a week","MTurk",25,24,25,23,25,24,0.677676895610426
"139","Male","26-40","Europe","Bachelor","Full time","A few times a week","Microworkers",27,27,26,28,13,25,1
"140","Female","26-40","Asia","Bachelor","Part time","Once a day","Microworkers",24,24,23,22,13,21,1
"141","Male","18-25","Asia","High school","Full time","Several times a day","Microworkers",27,25,28,28,24,23,0.90929967221211
"142","Male","18-25","Asia","Bachelor","Unemployed","A few times a week","Microworkers",28,26,27,26,24,26,0.726491106406735
"143","Male","26-40","America","Bachelor","Full time","Once a day","MTurk",25,26,24,25,26,24,0.9
"144","Male","26-40","Asia","Master","Full time","Several times a day","MTurk",24,27,24,23,19,25,0.87
"145","Female","26-40","America","Bachelor","Full time","Once a day","MTurk",26,23,25,24,17,21,0.835790778618845
"146","Male","26-40","America","High school","Full time","Several times a day","MTurk",19,14,20,18,15,20,1
"147","Male","26-40","America","Bachelor","Full time","Several times a day","MTurk",25,23,23,19,13,20,0.884604989415154
"148","Male","18-25","Africa","Bachelor","Full time","Once a day","Microworkers",23,22,21,19,13,19,0.846013967340175
"149","Female","26-40","America","Bachelor","Full time","A few times a week","MTurk",28,28,27,25,7,28,0.52373217175517
"150","Male","26-40","Africa","Master","Full time","Once a day","Microworkers",28,24,24,27,9,26,0.958113883008419
"151","Male","26-40","America","Bachelor","Full time","A few times a week","MTurk",24,20,24,23,16,24,0.722109395153487
"152","Female","18-25","America","High school","Unemployed","Several times a day","Microworkers",25,25,22,24,7,21,0.858778671959965
"153","Female","18-25","Asia","Bachelor","Unemployed","Once a day","Microworkers",28,27,28,26,19,24,1
"154","Female","26-40","Asia","Bachelor","Unemployed","Hardly ever","Microworkers",26,24,25,24,21,24,0.751810426486669
"155","Male","18-25","Asia","Bachelor","Full time","A few times a week","MTurk",22,24,21,14,19,24,0.6
"156","Female","26-40","Asia","Bachelor","Part time","Once a day","Microworkers",26,27,24,20,18,24,0.75228756555323
"157","Male","26-40","Asia","Master","Full time","A few times a week","MTurk",27,26,23,23,25,22,1
"158","Male","18-25","Asia","Bachelor","Unemployed","A few times a week","Microworkers",25,25,22,27,10,24,0.828113883008419
"159","Female","26-40","America","Bachelor","Full time","Once a day","MTurk",24,21,22,23,15,20,0.758113883008419
"160","Male","18-25","America","Bachelor","Full time","A few times a week","MTurk",25,22,24,19,20,22,0.89228756555323
"161","Male","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",24,25,25,24,16,24,0.9
"162","Female","26-40","Asia","Bachelor","Unemployed","Several times a day","Microworkers",25,24,24,26,22,25,0.775592894601845
"163","Female","18-25","America","High school","Part time","Several times a day","Microworkers",20,19,17,21,16,18,0.958113883008419
"164","Female","26-40","Asia","Bachelor","Unemployed","Once a day","Microworkers",22,23,22,23,17,20,0.87
"165","Female","18-25","Asia","High school","Full time","Several times a day","Microworkers",27,26,25,26,25,26,0.732287565553229
"166","Not said","26-40","Asia","High school","Unemployed","Several times a day","MTurk",24,22,24,24,15,23,0.835750626950277
"167","Male","Over 40","America","Master","Full time","A few times a week","MTurk",22,23,23,21,23,22,0.858778671959965
"168","Female","18-25","America","Bachelor","Full time","Once a day","MTurk",22,26,21,23,14,23,0.734675230250961
"169","Male","26-40","Asia","Master","Full time","A few times a week","MTurk",25,24,24,23,21,27,0.895618288746752
"170","Female","26-40","Asia","Bachelor","Full time","Several times a day","MTurk",20,20,25,21,14,22,0.958113883008419
"171","Male","26-40","Africa","Ph.D.","Full time","Several times a day","Microworkers",24,24,22,22,10,20,0.709259520543542
"172","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",26,24,25,25,24,27,0.851810426486669
"173","Female","Over 40","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,27,27,10,27,0.871428571428571
"174","Male","18-25","America","Master","Part time","Several times a day","Microworkers",26,23,25,28,17,28,0.725256740151276
"175","Male","26-40","America","Bachelor","Part time","Several times a day","Microworkers",25,18,24,21,11,27,0.926491106406735
"176","Male","18-25","Asia","Bachelor","Part time","Several times a day","Microworkers",27,26,27,24,8,26,0.868113883008419
"177","Male","18-25","America","Master","Part time","Several times a day","Microworkers",15,14,14,16,16,13,0.662331426738814
"178","Female","26-40","Asia","High school","Part time","Several times a day","Microworkers",23,23,24,22,20,25,0.537835613464174
"179","Male","18-25","Africa","Bachelor","Part time","Several times a day","Microworkers",26,24,25,27,8,22,0.831622776601684
"180","Male","18-25","Asia","Bachelor","Full time","Several times a day","MTurk",26,23,24,23,23,26,0.719522860933439
"181","Male","18-25","America","High school","Unemployed","Several times a day","Microworkers",26,20,25,26,19,25,0.958113883008419
"182","Female","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",25,23,25,26,26,24,0.661165231038674
"183","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",24,23,22,23,23,22,0.87
"184","Female","18-25","Asia","Bachelor","Part time","Once a day","MTurk",26,24,27,26,22,23,0.822109395153487
"185","Female","26-40","Asia","Master","Full time","A few times a week","Microworkers",27,24,23,26,13,27,0.868113883008419
"186","Male","18-25","Asia","High school","Unemployed","Several times a day","Microworkers",25,26,23,24,21,24,0.2
"187","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",27,25,24,25,22,26,0.63000837386622
"188","Male","18-25","Asia","High school","Part time","Several times a day","Microworkers",25,27,24,24,8,24,0.67
"189","Male","26-40","Asia","High school","Full time","Once a day","Microworkers",19,19,19,18,20,17,0.795284707521047
"190","Not said","Over 40","Asia","Bachelor","Unemployed","Hardly ever","Microworkers",23,23,22,21,13,24,0.855618288746751
"191","Male","18-25","Africa","High school","Unemployed","A few times a week","Microworkers",27,25,21,24,12,24,1
"192","Female","26-40","Asia","Bachelor","Unemployed","A few times a week","Microworkers",25,24,24,16,16,20,0.740168025708304
"193","Female","18-25","America","High school","Part time","Once a day","Microworkers",26,28,27,28,28,28,0.778113883008419
"194","Male","18-25","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,28,28,12,26,1
"195","Female","26-40","Asia","Master","Full time","Once a day","Microworkers",28,27,28,26,26,25,0.728862684814117
"196","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",22,21,22,23,23,22,0.658113883008419
"197","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",22,22,26,25,15,22,0.605273487883717
"198","Female","18-25","Asia","Bachelor","Part time","Hardly ever","Microworkers",28,28,28,28,27,28,1
"199","Female","26-40","America","High school","Unemployed","Several times a day","Microworkers",28,23,25,27,9,22,0.87070865013713
"200","Male","26-40","Europe","Bachelor","Full time","A few times a week","MTurk",25,20,27,19,24,24,0.537835613464174
"201","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,28,28,26,28,0.677636743941858
"202","Male","26-40","America","Bachelor","Full time","Several times a day","MTurk",28,28,28,25,16,16,0.455135349038836
"203","Female","18-25","Asia","Master","Unemployed","A few times a week","Microworkers",27,28,28,28,20,28,0.663154933544108
"204","Female","26-40","Asia","Master","Full time","Several times a day","Microworkers",28,28,28,28,10,28,0.675548047910945
"205","Male","26-40","Asia","Bachelor","Full time","A few times a week","MTurk",26,22,27,26,23,22,1
"206","Female","26-40","Asia","Master","Part time","Hardly ever","Microworkers",28,26,26,27,21,24,0.795115755535285
"207","Female","26-40","Asia","Bachelor","Part time","Once a day","Microworkers",28,28,23,22,15,26,1
"208","Female","26-40","Asia","Bachelor","Full time","Once a day","MTurk",26,25,26,25,25,26,0.70929967221211
"209","Male","Over 40","America","Bachelor","Full time","Once a day","MTurk",25,24,24,27,11,28,0.87
"210","Female","18-25","Asia","Bachelor","Full time","Once a day","MTurk",24,22,21,24,17,24,0.656557275508498
"211","Male","18-25","America","Bachelor","Part time","A few times a week","Microworkers",26,25,23,26,19,24,0.815141149680191
"212","Male","18-25","Asia","Bachelor","Part time","Several times a day","MTurk",24,24,23,26,23,23,0.658756364043786
"213","Male","26-40","Asia","Bachelor","Unemployed","A few times a week","Microworkers",26,22,21,19,17,21,1
"214","Female","18-25","America","Bachelor","Full time","Once a day","MTurk",20,23,22,19,21,24,0.96
"215","Female","26-40","Asia","Master","Full time","Several times a day","Microworkers",28,27,25,25,13,24,0.736415415901823
"216","Female","18-25","America","Bachelor","Full time","A few times a week","MTurk",20,23,23,20,22,24,0.958113883008419
"217","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,27,27,22,28,0.926491106406735
"218","Female","Over 40","America","Bachelor","Full time","Several times a day","MTurk",19,15,20,13,17,16,0.756013967340175
"219","Female","Over 40","Asia","Bachelor","Part time","Several times a day","Microworkers",17,17,13,17,15,16,0.447835613464174
"220","Female","26-40","Asia","Bachelor","Full time","Once a day","MTurk",24,23,21,22,23,22,0.919522860933439
"221","Male","Over 40","Asia","Bachelor","Part time","Once a day","Microworkers",25,25,18,14,12,20,0.483498748901826
"222","Female","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,26,25,12,28,0.758113883008419
"223","Female","26-40","America","Bachelor","Full time","Several times a day","MTurk",24,23,23,26,23,23,0.505141149680191
"224","Female","26-40","Asia","Master","Part time","Hardly ever","Microworkers",28,27,28,28,23,27,0.379056941504209
"225","Male","26-40","Asia","Bachelor","Full time","Several times a day","Microworkers",27,28,28,23,16,28,0.661185789203691
"226","Female","26-40","Asia","High school","Unemployed","Once a day","Microworkers",24,25,22,23,24,25,0.690401448561648
"227","Female","26-40","Asia","Bachelor","Part time","A few times a week","Microworkers",28,28,22,22,6,28,0.798579802437649
"228","Female","26-40","Asia","Master","Part time","A few times a week","Microworkers",26,23,25,22,19,26,0.695618288746751
"229","Male","26-40","Asia","Bachelor","Part time","Once a day","MTurk",26,27,26,26,26,26,0.498515331570067
"230","Male","26-40","Asia","Bachelor","Part time","Several times a day","MTurk",19,16,21,17,14,22,0.789522860933439
"231","Male","26-40","Asia","Master","Full time","Hardly ever","MTurk",21,23,19,18,16,23,0.799701120773758
"232","Female","26-40","Asia","Bachelor","Part time","A few times a week","Microworkers",26,23,25,25,23,25,0.726491106406735
"233","Female","18-25","Asia","Bachelor","Part time","Several times a day","Microworkers",24,25,27,27,19,27,0.87
"234","Male","26-40","America","Bachelor","Full time","Once a day","MTurk",25,27,26,24,24,25,0.919522860933439
"235","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",19,23,21,20,23,27,0.8
"236","Female","18-25","Asia","Bachelor","Unemployed","Several times a day","Microworkers",23,25,25,24,15,25,0.750485512932781
"237","Female","Over 40","America","Master","Full time","Several times a day","MTurk",22,23,22,23,21,24,0.858778671959965
"238","Female","18-25","Asia","Master","Full time","Hardly ever","Microworkers",26,22,24,25,7,20,0.535998052680511
"239","Male","26-40","Asia","Bachelor","Full time","A few times a week","MTurk",27,26,26,25,26,26,0.63228756555323
"240","Male","18-25","America","Bachelor","Full time","A few times a week","Microworkers",22,23,22,23,17,22,0.832287565553229
"241","Male","26-40","Asia","Master","Full time","Once a day","MTurk",16,16,12,15,15,12,0.633453902210926
"242","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",22,21,22,20,22,22,0.677636743941858
"243","Male","26-40","Asia","Bachelor","Part time","Hardly ever","Microworkers",27,27,26,26,17,28,1
"244","Male","18-25","Asia","Bachelor","Unemployed","Several times a day","Microworkers",25,23,24,25,13,26,0.833706777610264
"245","Male","18-25","Asia","Bachelor","Full time","Once a day","Microworkers",24,28,24,25,16,20,0.670668498468562
"246","Male","26-40","America","Bachelor","Full time","Hardly ever","MTurk",22,23,21,18,19,19,1
"247","Female","Over 40","Asia","High school","Unemployed","Once a day","Microworkers",19,19,16,17,14,13,0.795790778618845
"248","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",22,21,22,23,23,22,0.926491106406735
"249","Male","26-40","America","Master","Full time","A few times a week","MTurk",24,23,23,23,22,22,1
"250","Male","26-40","Asia","Bachelor","Full time","Once a day","Microworkers",24,26,26,24,13,28,0.919522860933439
"251","Male","26-40","Africa","Master","Unemployed","Several times a day","Microworkers",28,24,20,23,8,21,0.719522860933439
"252","Male","18-25","Asia","Bachelor","Full time","Several times a day","MTurk",24,25,24,23,25,24,0.765994343163494
"253","Male","18-25","America","Bachelor","Part time","Once a day","Microworkers",22,23,22,21,23,20,1
"254","Male","26-40","America","Master","Full time","Once a day","MTurk",25,23,24,25,27,25,0.8
"255","Female","26-40","Asia","Bachelor","Unemployed","Several times a day","Microworkers",25,26,28,25,11,22,0.951185789203691
"256","Female","26-40","Africa","Bachelor","Part time","Several times a day","Microworkers",20,19,18,18,19,17,0.951185789203691
"257","Female","26-40","Asia","Master","Full time","Hardly ever","Microworkers",28,28,28,22,22,27,1
"258","Male","26-40","America","Bachelor","Full time","Several times a day","Microworkers",24,26,25,27,22,23,1
"259","Male","26-40","Asia","Bachelor","Full time","Several times a day","MTurk",24,22,24,28,26,26,0.788047713906656
"260","Female","18-25","Asia","Bachelor","Full time","Several times a day","Microworkers",26,21,22,20,17,15,0.77325503268861
"261","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",22,23,22,21,21,22,0.732287565553229
"262","Male","18-25","America","Master","Full time","Several times a day","MTurk",22,24,23,26,24,26,0.846804077950442
